title,year,cover_date,journal,authors,doi,eid,scopus_id,citedby_count,subtype,description,citations_per_year
Deep Learning–Based Acceleration in MRI: Current Landscape and Clinical Applications in Neuroradiology,2026,2026-01-01,American Journal of Neuroradiology,Rai P.,10.3174/ajnr.A8943,2-s2.0-105026708279,SCOPUS_ID:105026708279,4,Review,,4.0
Artificial Intelligence–Assisted Detection of Amyloid-Related Imaging Abnormalities: Promise and Pitfalls,2026,2026-02-01,American Journal of Neuroradiology,Petrella J.R.,10.3174/ajnr.A8946,2-s2.0-105029364073,SCOPUS_ID:105029364073,2,Article,,2.0
Deep Learning–Based Collateral Scoring on Multiphase CTA in Patients with Acute Ischemic Stroke in the MCA Region,2026,2026-01-01,American Journal of Neuroradiology,Liu H.,10.3174/ajnr.A8911,2-s2.0-105026737143,SCOPUS_ID:105026737143,2,Article,,2.0
Predicting 10-Year Clinical Outcomes in MS with Radiomics-Based Machine Learning Models,2026,2026-01-01,American Journal of Neuroradiology,Tranfa M.,10.3174/ajnr.A8912,2-s2.0-105026734702,SCOPUS_ID:105026734702,2,Article,,2.0
High-Resolution 3T MRI of the Membranous Labyrinth Using Deep Learning Reconstruction,2026,2026-03-01,American Journal of Neuroradiology,Boubaker F.,10.3174/ajnr.A8989,2-s2.0-105032140616,SCOPUS_ID:105032140616,1,Article,,1.0
Head-to-Head Comparison of 2 Artificial Intelligence Computer-Aided Triage Solutions for Detecting Intracranial Hemorrhage on Noncontrast Head CT,2026,2026-02-01,American Journal of Neuroradiology,Garcia G.M.,10.3174/ajnr.A8986,2-s2.0-105029500522,SCOPUS_ID:105029500522,1,Article,,1.0
Multimodal CT Perfusion–Based Deep Learning for Predicting Stroke Lesion Outcomes in Complete and No Recanalization Scenarios,2026,2026-04-01,American Journal of Neuroradiology,Yang H.,10.3174/ajnr.A9016,2-s2.0-105034989181,SCOPUS_ID:105034989181,0,Article,,0.0
Prediction of CSF Intervention in Fetal Ventriculomegaly via Artificial Intelligence–Powered Normative Modeling,2026,2026-03-01,American Journal of Neuroradiology,Zhou M.,10.3174/ajnr.A9000,2-s2.0-105032127514,SCOPUS_ID:105032127514,0,Article,,0.0
Machine Learning–Based Preoperative Predicting TERT Promoter Mutation and EGFR Gene Amplification Phenotype in IDH Wild-Type Glioblastoma Using Advanced MR Habitat Imaging,2026,2026-03-01,American Journal of Neuroradiology,Su Y.,10.3174/ajnr.A9053,2-s2.0-105032089222,SCOPUS_ID:105032089222,0,Article,,0.0
Motion-Informed 3D Deep Learning Reconstruction in Patients with Cognitive Impairment,2026,2026-02-01,American Journal of Neuroradiology,Fujita S.,10.3174/ajnr.A8977,2-s2.0-105029490371,SCOPUS_ID:105029490371,0,Article,,0.0
Outcome Prediction in Pediatric Traumatic Brain Injury Utilizing Social Determinants of Health and Machine Learning Methods,2026,2026-02-01,American Journal of Neuroradiology,Kaliaev A.,10.3174/ajnr.A8961,2-s2.0-105029419957,SCOPUS_ID:105029419957,0,Article,,0.0
The Impact of a Neuroradiologist on the Report of a Real-World CT Perfusion Imaging Map Derived from Artificial Intelligence/Machine Learning–Driven Software,2026,2026-02-01,American Journal of Neuroradiology,De Rubeis G.,10.3174/ajnr.A8979,2-s2.0-105029414465,SCOPUS_ID:105029414465,0,Article,,0.0
