title,year,cover_date,journal,authors,doi,eid,scopus_id,citedby_count,subtype,description
Study of Cerebellar Network Dynamics in Patients with Poststroke Aphasia Based on Resting-State Functional MRI,2026,2026-04-01,American Journal of Neuroradiology,Chen L.,10.3174/ajnr.A9030,2-s2.0-105035000440,SCOPUS_ID:105035000440,1,Article,
MRI on a Budget: Leveraging Low- and Ultra-Low-Intensity Technology in Africa,2026,2026-04-01,American Journal of Neuroradiology,Ussi K.K.,10.3174/ajnr.A9014,2-s2.0-105034997045,SCOPUS_ID:105034997045,0,Article,
Comprehensive Review of the Imaging of Adult Facial Nerve Reanimation,2026,2026-04-01,American Journal of Neuroradiology,Loftus J.R.,10.3174/ajnr.A9073,2-s2.0-105035016711,SCOPUS_ID:105035016711,0,Review,
18F-FDG PET/MR–Based Individual Metabolic Network Analysis for Prognosis Assessment in Temporal and Extratemporal Lobe Refractory Epilepsy,2026,2026-04-01,American Journal of Neuroradiology,Zhang S.,10.3174/ajnr.A9027,2-s2.0-105034990671,SCOPUS_ID:105034990671,0,Article,
Glymphatic Dysfunction Associated with Cognitive Impairment in Patients with Unilateral Intracranial Atherosclerotic Stenosis,2026,2026-04-01,American Journal of Neuroradiology,Ke H.,10.3174/ajnr.A9033,2-s2.0-105035006092,SCOPUS_ID:105035006092,1,Article,
CT Radiomic Features Are Associated with DNA Copy Number Alterations of Head and Neck Squamous Cell Carcinomas,2026,2026-04-01,American Journal of Neuroradiology,Haider S.P.,10.3174/ajnr.A9029,2-s2.0-105035001362,SCOPUS_ID:105035001362,0,Article,
Glioneuronal and Neuronal Tumors in Adults: World Health Organization 2021 Imaging and Molecular Updates,2026,2026-04-01,American Journal of Neuroradiology,Warstadt M.B.,10.3174/ajnr.A9102,2-s2.0-105035009506,SCOPUS_ID:105035009506,0,Review,
Predicting Vasospasm and Delayed Cerebral Ischemia in Aneurysmal SAH: The Role of Vessel Wall MRI,2026,2026-04-01,American Journal of Neuroradiology,Aksakal M.,10.3174/ajnr.A9024,2-s2.0-105035019400,SCOPUS_ID:105035019400,0,Article,
Reduced Frontal White Matter Hyperintensities in Superagers: Evidence of Resistance to Age-Related Structural Brain Changes,2026,2026-04-01,American Journal of Neuroradiology,de Godoy L.L.,10.3174/ajnr.A9084,2-s2.0-105034956608,SCOPUS_ID:105034956608,0,Article,
Functional Connectivity Alterations in Benign Paroxysmal Positional Vertigo: Insights from Brain Resting-State Networks,2026,2026-04-01,American Journal of Neuroradiology,Yang K.,10.3174/ajnr.A9048,2-s2.0-105035018056,SCOPUS_ID:105035018056,0,Article,
"Temporal Characteristics of Type 2 Lateral Spinal CSF Leaks on Digital Subtraction Myelography: Fast, Medium, or Slow Leaks?",2026,2026-04-01,American Journal of Neuroradiology,Lützen N.,10.3174/ajnr.A9040,2-s2.0-105035009401,SCOPUS_ID:105035009401,1,Article,
Multimodal CT Perfusion–Based Deep Learning for Predicting Stroke Lesion Outcomes in Complete and No Recanalization Scenarios,2026,2026-04-01,American Journal of Neuroradiology,Yang H.,10.3174/ajnr.A9016,2-s2.0-105034989181,SCOPUS_ID:105034989181,0,Article,
Mapping Brain Metabolites in Tuberous Sclerosis Complex: A 3T MR Spectroscopic Imaging Study,2026,2026-04-01,American Journal of Neuroradiology,Senapati D.K.,10.3174/ajnr.A9088,2-s2.0-105034959166,SCOPUS_ID:105034959166,0,Article,
Reliability of Pseudocontinuous Arterial Spin-Labeling in Ischemic Stroke and Comparison with Other Perfusion Techniques: Systematic Review and Meta-Analysis,2026,2026-04-01,American Journal of Neuroradiology,Kroth J.B.,10.3174/ajnr.A9031,2-s2.0-105034983727,SCOPUS_ID:105034983727,0,Article,
Hemodynamic Assessment of Intracranial Atherosclerotic Stenosis Using Angiographic Images: Correlation with In-Stent Restenosis,2026,2026-04-01,American Journal of Neuroradiology,Wang L.,10.3174/ajnr.A9050,2-s2.0-105034992128,SCOPUS_ID:105034992128,0,Article,
Feasibility of MR-Guided PET Reconstruction in Detection of Focal Cortical Dysplasia,2026,2026-04-01,American Journal of Neuroradiology,Middlebrooks E.H.,10.3174/ajnr.A9023,2-s2.0-105035015030,SCOPUS_ID:105035015030,0,Article,
Spine MRI Diverticular Patterns Predict CSF-Venous Fistula Location: A 100-Patient Study,2026,2026-04-01,American Journal of Neuroradiology,Mamlouk M.D.,10.3174/ajnr.A9042,2-s2.0-105035016884,SCOPUS_ID:105035016884,2,Article,
Longitudinal Analysis of Location- and Growth-Associated Hemodynamics in Matched Paraclinoid Aneurysms,2026,2026-04-01,American Journal of Neuroradiology,Chien A.,10.3174/ajnr.A9125,2-s2.0-105034987542,SCOPUS_ID:105034987542,0,Article,
"Neuroimaging Findings and Treatment Update for Neuroinflammation, Autoinflammation, Splenomegaly, and Anemia, a Novel Autoinflammatory Disorder Caused by Bi-Allelic Variants in IRAK4",2026,2026-04-01,American Journal of Neuroradiology,Price-Kuehne F.,10.3174/ajnr.A9076,2-s2.0-105034957248,SCOPUS_ID:105034957248,0,Article,
Prediction Models of IDH and ATRX Gene Status in Diffuse Gliomas Based on Visually Accessible Rembrandt Images Features,2026,2026-04-01,American Journal of Neuroradiology,Li Y.,10.3174/ajnr.A9049,2-s2.0-105035026742,SCOPUS_ID:105035026742,0,Article,
Comparative Analysis of Middle Ear Prostheses Using Photon-Counting Detector CT versus Conventional CT,2026,2026-04-01,American Journal of Neuroradiology,Dutta A.,10.3174/ajnr.A9075,2-s2.0-105034955356,SCOPUS_ID:105034955356,0,Article,
Surgical Exploration of Radiographically Resolved Spontaneous Ventral Spinal CSF Leaks,2026,2026-04-01,American Journal of Neuroradiology,Schievink W.I.,10.3174/ajnr.A9085,2-s2.0-105034959628,SCOPUS_ID:105034959628,0,Article,
Delphi Consensus on Early Neurologic Improvement after Mechanical Thrombectomy,2026,2026-04-01,American Journal of Neuroradiology,Bilgin C.,10.3174/ajnr.A9164,2-s2.0-105034953660,SCOPUS_ID:105034953660,0,Article,
Fluid-Attenuated Inversion Recovery Correlates with Stroke Onset in Childhood Arterial Ischemic Stroke,2026,2026-04-01,American Journal of Neuroradiology,Amlie-Lefond C.,10.3174/ajnr.A9082,2-s2.0-105034961086,SCOPUS_ID:105034961086,0,Article,
CT-Based Timeline for Closure of Sphenoid Body Synchondroses and Foramina in Children,2026,2026-04-01,American Journal of Neuroradiology,Cerron-Vela C.R.,10.3174/ajnr.A9021,2-s2.0-105035023663,SCOPUS_ID:105035023663,0,Article,
Fluid-Attenuated Inversion Recovery Correlates with Stroke Onset in Childhood Arterial Ischemic Stroke,2026,2026-04-01,American Journal of Neuroradiology,Amlie-Lefond C.,10.3174/ajnr.A9082,2-s2.0-105034961086,SCOPUS_ID:105034961086,0,Article,
Neuroradiology Publication Metrics by Rank: Current Status,2026,2026-04-01,American Journal of Neuroradiology,Beauchamp N.J.,10.3174/ajnr.A9068,2-s2.0-105035024336,SCOPUS_ID:105035024336,3,Article,
Circumferential Epidural Patch for Postdural Puncture Headache: A Technical Report,2026,2026-04-01,American Journal of Neuroradiology,Christensen S.,10.3174/ajnr.A9038,2-s2.0-105035005038,SCOPUS_ID:105035005038,0,Article,
Locating Spinal Leaks in Spontaneous Intracranial Hypotension: How Many Dynamic Myelographies Does It Take?,2026,2026-04-01,American Journal of Neuroradiology,Rajbhandari S.,10.3174/ajnr.A9032,2-s2.0-105035025786,SCOPUS_ID:105035025786,0,Article,
Clinical Evaluation of Scout Accelerated Motion Estimation and Reduction (SAMER) Motion-Corrected 2D T2-Weighted TSE 3T Brain MRI in the Neurologic Intensive Care Unit,2026,2026-04-01,American Journal of Neuroradiology,Hajati A.,10.3174/ajnr.A9089,2-s2.0-105034956686,SCOPUS_ID:105034956686,0,Article,
ACR–ASNR–SPR Practice Parameter for the Performance of Computed Tomography (CT) of the Head,2026,2026-04-01,American Journal of Neuroradiology,Ho M.L.,10.3174/ajnr.A9106,2-s2.0-105034977909,SCOPUS_ID:105034977909,0,Article,
Intracranial Changes after Fetal Spina Bifida Repair by 2D and 3D Slice-to-Volume MRI Reconstruction: Implications for the Etiology of Hydrocephalus,2026,2026-04-01,American Journal of Neuroradiology,Van den Eede E.,10.3174/ajnr.A9083,2-s2.0-105034953492,SCOPUS_ID:105034953492,0,Article,
Photon-Counting CT for Evaluation of Coiled Intracranial Aneurysms,2026,2026-04-01,American Journal of Neuroradiology,Grory B.M.,10.3174/ajnr.A9015,2-s2.0-105035000423,SCOPUS_ID:105035000423,0,Article,
Disparities in Access to Specialized Care for Spontaneous Intracranial Hypotension: A Comparative Cohort Study,2026,2026-04-01,American Journal of Neuroradiology,Puello M.,10.3174/ajnr.A9036,2-s2.0-105034989720,SCOPUS_ID:105034989720,0,Article,
Patient-Reported Symptom Relief from Percutaneous Benign Thyroid Nodule Radiofrequency Ablation in Routine Clinical Care,2026,2026-04-01,American Journal of Neuroradiology,Mai M.,10.3174/ajnr.A9022,2-s2.0-105034996534,SCOPUS_ID:105034996534,0,Article,
Patterns of MRI Brain Injury in Children after Out-of-Hospital Cardiac Arrest,2026,2026-04-01,American Journal of Neuroradiology,Shih J.J.,10.3174/ajnr.A9057,2-s2.0-105035027088,SCOPUS_ID:105035027088,0,Article,
Microcatheter Intrathecal Selective Myelography for Intraprocedural CSF-Venous Fistula Evaluation Pre- and Postembolization,2026,2026-04-01,American Journal of Neuroradiology,Hutchins T.A.,10.3174/ajnr.A9041,2-s2.0-105034996928,SCOPUS_ID:105034996928,0,Article,
Flow Diversion versus Coiling with or without Stenting for Unruptured Wide-Neck Intracranial Aneurysms: A Randomized Comparison,2026,2026-04-01,American Journal of Neuroradiology,Boisseau W.,10.3174/ajnr.A9044,2-s2.0-105035033434,SCOPUS_ID:105035033434,1,Article,
Under Pressure: Advancing the Diagnosis of Pediatric CSF Leaks with Digital Subtraction Myelography,2026,2026-04-01,American Journal of Neuroradiology,Garcia C.M.,10.3174/ajnr.A9091,2-s2.0-105034956932,SCOPUS_ID:105034956932,0,Article,
CSF-Venous Fistulas Occurring in First-Degree Relatives: A Multicenter Case Series,2026,2026-04-01,American Journal of Neuroradiology,Madhavan A.A.,10.3174/ajnr.A9039,2-s2.0-105034997682,SCOPUS_ID:105034997682,1,Article,
ACR TI-RADS Risk Score Escalation Observed in Benign Thyroid Nodules following Radiofrequency Ablation,2026,2026-04-01,American Journal of Neuroradiology,Battiola T.J.,10.3174/ajnr.A9028,2-s2.0-105035021456,SCOPUS_ID:105035021456,0,Article,
Cerebellar Subpial Hemorrhage–An Underestimated Location of Fetal Intracranial Hemorrhage,2026,2026-03-01,American Journal of Neuroradiology,Haboosheh A.,10.3174/ajnr.A9019,2-s2.0-105032166197,SCOPUS_ID:105032166197,1,Article,
Three-Dimensional Quantitative Color-Coding Analysis in Predicting the Outcome of Flow Diverter Treatment for Large or Giant ICA Aneurysms in the Cavernous Portion,2026,2026-03-01,American Journal of Neuroradiology,Arimura K.,10.3174/ajnr.A9051,2-s2.0-105032104491,SCOPUS_ID:105032104491,0,Article,
