eid,scopus_id,doi,title,year,cover_date,first_author,citedby_count,subtype,volume,issue,page_range
2-s2.0-105034989181,105034989181,10.3174/ajnr.A9016,Multimodal CT Perfusion–Based Deep Learning for Predicting Stroke Lesion Outcomes in Complete and No Recanalization Scenarios,2026,2026-04-01,Yang H.,0,Article,47,4,920-928
2-s2.0-105035001362,105035001362,10.3174/ajnr.A9029,CT Radiomic Features Are Associated with DNA Copy Number Alterations of Head and Neck Squamous Cell Carcinomas,2026,2026-04-01,Haider S.P.,0,Article,47,4,1009-1016
2-s2.0-105035026742,105035026742,10.3174/ajnr.A9049,Prediction Models of IDH and ATRX Gene Status in Diffuse Gliomas Based on Visually Accessible Rembrandt Images Features,2026,2026-04-01,Li Y.,0,Article,47,4,980-988
2-s2.0-105032127992,105032127992,10.3174/ajnr.A8998,Two-Step Semiautomated Classification of Choroidal Metastases on MRI: Orbit Localization via Bounding Boxes Followed by Binary Classification via Evolutionary Strategies,2026,2026-03-01,Shi J.S.,0,Article,47,3,678-685
2-s2.0-105032127514,105032127514,10.3174/ajnr.A9000,Prediction of CSF Intervention in Fetal Ventriculomegaly via Artificial Intelligence–Powered Normative Modeling,2026,2026-03-01,Zhou M.,0,Article,47,3,761-767
2-s2.0-105032157245,105032157245,10.3174/ajnr.A8995,Brain CT for Diagnosis of Intracranial Disease in Ambulatory Patients with Cancer: Assessment of the Diagnostic Value of Scanning without Contrast prior to with Contrast,2026,2026-03-01,Wang E.,0,Article,47,3,694-698
2-s2.0-105032140616,105032140616,10.3174/ajnr.A8989,High-Resolution 3T MRI of the Membranous Labyrinth Using Deep Learning Reconstruction,2026,2026-03-01,Boubaker F.,1,Article,47,3,723-729
2-s2.0-105032089222,105032089222,10.3174/ajnr.A9053,Machine Learning–Based Preoperative Predicting TERT Promoter Mutation and EGFR Gene Amplification Phenotype in IDH Wild-Type Glioblastoma Using Advanced MR Habitat Imaging,2026,2026-03-01,Su Y.,0,Article,47,3,686-694
2-s2.0-105032140454,105032140454,10.3174/ajnr.A9055,Spinal CSF Volumetry in Patients with Spontaneous Intracranial Hypotension and Spinal CSF Leaks,2026,2026-03-01,Piechowiak E.I.,0,Article,47,3,823-829
2-s2.0-105032049220,105032049220,10.3174/ajnr.A9054,CTP-Free Method for Automated Lesion Water Uptake in Acute Ischemic Stroke,2026,2026-03-01,van Poppel L.M.,0,Article,47,3,620-627
2-s2.0-105029414465,105029414465,10.3174/ajnr.A8979,The Impact of a Neuroradiologist on the Report of a Real-World CT Perfusion Imaging Map Derived from Artificial Intelligence/Machine Learning–Driven Software,2026,2026-02-01,De Rubeis G.,0,Article,47,2,336-341
2-s2.0-105029500522,105029500522,10.3174/ajnr.A8986,Head-to-Head Comparison of 2 Artificial Intelligence Computer-Aided Triage Solutions for Detecting Intracranial Hemorrhage on Noncontrast Head CT,2026,2026-02-01,Garcia G.M.,1,Article,47,2,376-385
2-s2.0-105029449415,105029449415,10.3174/ajnr.A8938,Enhancing the Characterization of Dural Tears on Photon-Counting CT Myelography: An Analysis of Reconstruction Techniques,2026,2026-02-01,Madhavan A.A.,1,Article,47,2,532-536
2-s2.0-105029279204,105029279204,10.3174/ajnr.A8992,Clinical Validation of Deep Learning–Accelerated versus Wave-CAIPI Postcontrast 3D T1-MPRAGE for Evaluation of Intracranial Enhancing Lesions,2026,2026-02-01,Tabari A.,0,Article,47,2,394-400
2-s2.0-105029364073,105029364073,10.3174/ajnr.A8946,Artificial Intelligence–Assisted Detection of Amyloid-Related Imaging Abnormalities: Promise and Pitfalls,2026,2026-02-01,Petrella J.R.,2,Article,47,2,289-292
2-s2.0-105029490371,105029490371,10.3174/ajnr.A8977,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cognitive Impairment,2026,2026-02-01,Fujita S.,0,Article,47,2,446-453
2-s2.0-105029486722,105029486722,10.3174/ajnr.A8954,A Deep Learning Model to Detect Acute MCA Occlusion on High-Resolution Noncontrast Head CT,2026,2026-02-01,Fussell D.A.,0,Article,47,2,386-393
2-s2.0-105029419957,105029419957,10.3174/ajnr.A8961,Outcome Prediction in Pediatric Traumatic Brain Injury Utilizing Social Determinants of Health and Machine Learning Methods,2026,2026-02-01,Kaliaev A.,0,Article,47,2,482-488
