auid,name,n_papers,total_citations,mean_citations,first_year,last_year
6602464023,Zaharchuk G.,18,1085,60.27777777777778,2018,2025
7006884046,Filippi C.G.,6,968,161.33333333333334,2018,2024
7003404861,Wintermark M.,12,929,77.41666666666667,2018,2025
12647205500,Grinband J.,2,681,340.5,2018,2018
57194383545,Weinberg B.D.,2,681,340.5,2018,2018
7403166951,Su M.-Y.,2,681,340.5,2018,2018
16204680400,Yeom K.W.,7,636,90.85714285714286,2018,2024
8560262200,Tong E.,2,602,301.0,2018,2020
6506553251,Zeineh M.,2,543,271.5,2018,2022
57192687394,Chang P.D.,8,537,67.125,2018,2026
12647315500,Wang Z.,1,536,536.0,2018,2018
48661054700,Ball T.M.,1,536,536.0,2018,2018
54410843200,Liao C.,1,536,536.0,2018,2018
55977922500,Lv H.,1,536,536.0,2018,2018
56479129700,Goldstein-Piekarski A.N.,1,536,536.0,2018,2018
7404478534,Williams L.M.,1,536,536.0,2018,2018
23035133100,Iv M.,3,532,177.33333333333334,2018,2020
7201864583,Cha S.,2,482,241.0,2018,2021
7403914085,Yu W.,2,472,236.0,2018,2021
23003890000,Gevaert O.,2,466,233.0,2018,2019
57223394713,Zhou M.,2,466,233.0,2018,2019
57192687394,Chang P.,3,441,147.0,2018,2024
35236098700,Bota D.,1,437,437.0,2018,2018
56974803600,Cadena G.,1,437,437.0,2018,2018
57202920869,Poisson X.L.M.,1,437,437.0,2018,2018
57202929292,Bardis M.,1,437,437.0,2018,2018
57202930106,Khy M.,1,437,437.0,2018,2018
57202931315,Jain X.R.,1,437,437.0,2018,2018
59455220600,Chow X.D.,1,437,437.0,2018,2018
7101759672,Baldi P.,1,437,437.0,2018,2018
