year,country,n_papers
2017,Australia,1
2017,Canada,2
2017,China,1
2017,Italy,1
2017,Kuwait,1
2017,Netherlands,1
2017,United States,4
2018,Canada,1
2018,China,1
2018,France,1
2018,Iran,1
2018,Netherlands,1
2018,United States,7
2019,Canada,4
2019,China,1
2019,France,1
2019,Germany,2
2019,India,3
2019,Italy,1
2019,Japan,2
2019,South Korea,1
2019,Thailand,1
2019,United Kingdom,1
2019,United States,16
2020,Canada,1
2020,China,3
2020,Germany,3
2020,Netherlands,2
2020,South Korea,1
2020,Sweden,1
2020,Switzerland,2
2020,United States,15
2021,Australia,1
2021,Brazil,2
2021,Canada,2
2021,China,2
2021,Colombia,1
2021,Germany,3
2021,Israel,2
2021,Italy,1
2021,Netherlands,1
2021,South Korea,5
2021,Sweden,1
2021,Switzerland,3
2021,Thailand,1
2021,Turkey,1
2021,United States,30
2022,Australia,1
2022,Canada,4
2022,China,1
2022,Colombia,1
2022,France,1
2022,Germany,3
2022,Iran,1
2022,Japan,1
2022,Netherlands,1
2022,South Korea,4
2022,Taiwan,1
2022,United Kingdom,1
2022,United States,16
2023,Belgium,2
2023,Canada,4
2023,China,4
2023,Czech Republic,1
2023,France,1
2023,Germany,4
2023,Israel,2
2023,Italy,1
2023,Netherlands,1
2023,South Korea,3
2023,Switzerland,2
2023,Taiwan,1
2023,Turkey,1
2023,United Kingdom,1
2023,United States,15
2024,Canada,5
2024,China,6
2024,Germany,4
2024,Hong Kong,1
2024,Iran,2
2024,Ireland,1
2024,Japan,2
2024,Jordan,1
2024,Netherlands,2
2024,South Korea,2
2024,Switzerland,2
2024,United Kingdom,1
2024,United States,30
2025,Australia,1
2025,Belgium,2
2025,Canada,2
2025,China,9
2025,Egypt,1
2025,France,2
2025,Germany,9
2025,India,2
2025,Iran,1
2025,Italy,4
2025,Japan,1
2025,Netherlands,3
2025,Norway,1
2025,South Korea,5
2025,Spain,2
2025,Sweden,1
2025,Switzerland,4
2025,Taiwan,1
2025,United Kingdom,4
2025,United States,42
2026,Australia,1
2026,Belgium,1
2026,Canada,1
2026,China,5
2026,France,3
2026,Germany,6
2026,India,2
2026,Italy,4
2026,Japan,2
2026,Netherlands,3
2026,Switzerland,1
2026,Taiwan,1
2026,United Kingdom,1
2026,United States,18
