year,AI agents / autonomous systems,Detection / classification (CADx),Explainability / trustworthy AI,Federated / privacy-preserving learning,Foundation models / self-supervised,Generative / diffusion models,Image reconstruction / acceleration,Image segmentation,Large language models / NLP,Machine learning,Machine learning (general),Multimodal AI,Prognosis / outcome prediction,Quantitative imaging,detection / classification (CADx),detection / classification (cadx),explainability / trustworthy AI,generative / diffusion models,image reconstruction / acceleration,image segmentation,multimodal AI,prognosis / outcome prediction,quantitative imaging,transfer learning
2017,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,1.0,0.4,0.0,0.0,0.2,0.4,0.8,0.2,0.2,0.0,0.2,0.4,0.8,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0
2019,0.0,0.6428571428571429,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.7857142857142857,0.14285714285714285,0.0,0.0,0.0,0.21428571428571427,0.8571428571428571,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142
2020,0.0,0.6428571428571429,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.07142857142857142,0.42857142857142855,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0
2021,0.0,0.8333333333333334,0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.1,0.4666666666666667,0.26666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5666666666666667,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0
2022,0.0,0.5,0.09090909090909091,0.0,0.13636363636363635,0.18181818181818182,0.18181818181818182,0.5,0.045454545454545456,0.0,0.0,0.0,0.5,0.5909090909090909,0.09090909090909091,0.0,0.045454545454545456,0.0,0.045454545454545456,0.22727272727272727,0.0,0.09090909090909091,0.18181818181818182,0.0
2023,0.043478260869565216,0.6521739130434783,0.043478260869565216,0.0,0.0,0.13043478260869565,0.21739130434782608,0.6956521739130435,0.17391304347826086,0.0,0.0,0.043478260869565216,0.391304347826087,0.5217391304347826,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.0,0.17391304347826086,0.0,0.043478260869565216,0.13043478260869565,0.0
2024,0.0,0.7941176470588235,0.2647058823529412,0.029411764705882353,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.5588235294117647,0.14705882352941177,0.0,0.0,0.11764705882352941,0.35294117647058826,0.5,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0
2025,0.0,0.6,0.2,0.07272727272727272,0.09090909090909091,0.14545454545454545,0.3090909090909091,0.5272727272727272,0.14545454545454545,0.0,0.0,0.05454545454545454,0.36363636363636365,0.6727272727272727,0.01818181818181818,0.0,0.0,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.0,0.01818181818181818,0.05454545454545454,0.0
2026,0.0,0.7307692307692307,0.19230769230769232,0.0,0.07692307692307693,0.038461538461538464,0.34615384615384615,0.5,0.11538461538461539,0.0,0.0,0.038461538461538464,0.4230769230769231,0.7307692307692307,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0
