year,AI agents / autonomous systems,Detection / classification (CADx),Explainability / trustworthy AI,Federated / privacy-preserving learning,Foundation models / self-supervised,Generative / diffusion models,Image reconstruction / acceleration,Image segmentation,Large language models / NLP,Machine learning,Machine learning (general),Multimodal AI,Prognosis / outcome prediction,Quantitative imaging,detection / classification (CADx),detection / classification (cadx),explainability / trustworthy AI,generative / diffusion models,image reconstruction / acceleration,image segmentation,multimodal AI,prognosis / outcome prediction,quantitative imaging,transfer learning
2017,0,5,0,0,0,1,0,5,2,0,1,1,2,6,0,0,0,0,0,0,0,0,0,0
2018,0,5,2,0,0,1,2,4,1,1,0,1,2,4,0,0,0,0,1,1,0,0,1,0
2019,0,9,1,0,1,2,3,11,2,0,0,0,3,12,1,0,1,0,1,1,1,1,2,1
2020,0,9,2,0,2,1,4,10,0,0,0,1,6,12,0,0,0,0,0,1,0,1,1,0
2021,0,25,1,0,2,1,3,14,8,0,0,0,10,17,1,0,0,0,1,1,0,0,2,0
2022,0,11,2,0,3,4,4,11,1,0,0,0,11,13,2,0,1,0,1,5,0,2,4,0
2023,1,15,1,0,0,3,5,16,4,0,0,1,9,12,1,1,1,0,0,4,0,1,3,0
2024,0,27,9,1,2,6,10,19,5,0,0,4,12,17,1,0,0,0,0,1,0,0,0,0
2025,0,33,11,4,5,8,17,29,8,0,0,3,20,37,1,0,0,1,2,1,0,1,3,0
2026,0,19,5,0,2,1,9,13,3,0,0,1,11,19,1,0,0,0,0,0,0,1,1,0
