year,title,citedby_count,citations_per_year,subfields
2017,Differentiation of enhancing glioma and primary central nervous system lymphoma by texture-based machine learning,59,5.9,"['Detection / classification (CADx)', 'Image segmentation', 'Large language models / NLP', 'Quantitative imaging']"
2017,Mri-based texture analysis to differentiate sinonasal squamous cell carcinoma from inverted papilloma,57,5.7,"['Detection / classification (CADx)', 'Image segmentation', 'Large language models / NLP', 'Quantitative imaging']"
2017,Combined diffusion tensor imaging and apparent transverse relaxation rate differentiate Parkinson disease and atypical parkinsonism,36,3.6,"['Detection / classification (CADx)', 'Image segmentation', 'Quantitative imaging']"
2018,Deep-learning convolutional neural networks accurately classify genetic mutations in gliomas,437,48.55555555555556,"['Detection / classification (CADx)', 'Explainability / trustworthy AI', 'Generative / diffusion models', 'Image segmentation', 'Large language models / NLP', 'Quantitative imaging']"
2018,"Radiomics in Brain Tumor: Image Assessment, Quantitative Feature Descriptors, and Machine-Learning Approaches",350,38.888888888888886,"['Detection / classification (CADx)', 'Image segmentation', 'Machine learning', 'Prognosis / outcome prediction', 'Quantitative imaging']"
2018,Deep learning in neuroradiology,274,30.444444444444443,"['Detection / classification (CADx)', 'Explainability / trustworthy AI', 'Image reconstruction / acceleration', 'Image segmentation', 'Multimodal AI', 'Prognosis / outcome prediction', 'Quantitative imaging']"
2019,Deep learning-based detection of intracranial aneurysms in 3D TOF-MRA,160,20.0,"['Detection / classification (CADx)', 'Image segmentation', 'Quantitative imaging']"
2019,Automated aspects on noncontrast CT scans in patients with acute ischemic stroke using machine learning,120,15.0,"['Detection / classification (CADx)', 'Image segmentation', 'Large language models / NLP', 'Quantitative imaging']"
2019,MR imaging-based radiomic signatures of distinct molecular subgroups of medulloblastoma,116,14.5,"['Detection / classification (CADx)', 'Image segmentation', 'Prognosis / outcome prediction', 'Quantitative imaging', 'detection / classification (CADx)', 'image segmentation', 'quantitative imaging']"
2020,Deep transfer learning and radiomics feature prediction of survival of patients with high-grade gliomas,107,15.285714285714286,"['Detection / classification (CADx)', 'Foundation models / self-supervised', 'Image segmentation', 'Prognosis / outcome prediction', 'Quantitative imaging']"
2020,Artificial intelligence in the management of intracranial aneurysms: Current status and future perspectives,89,12.714285714285714,"['Detection / classification (CADx)', 'Prognosis / outcome prediction', 'Quantitative imaging']"
2020,Deep learning for pediatric posterior fossa tumor detection and classification: A multi-institutional study,66,9.428571428571429,"['Detection / classification (CADx)', 'Image segmentation', 'Quantitative imaging']"
2021,Artificial intelligence and acute stroke imaging,228,38.0,"['Detection / classification (CADx)', 'Image reconstruction / acceleration', 'Image segmentation', 'Large language models / NLP', 'Prognosis / outcome prediction', 'Quantitative imaging']"
2021,MRI-based deep-learning method for determining glioma MGMT promoter methylation status,95,15.833333333333334,"['Detection / classification (CADx)', 'Image segmentation', 'Prognosis / outcome prediction', 'Quantitative imaging']"
2021,Evaluation of artificial intelligence-powered identification of large-vessel occlusions in a comprehensive stroke center,92,15.333333333333334,['Detection / classification (CADx)']
2022,Automated 3D Fetal Brain Segmentation Using an Optimized Deep Learning Approach,52,10.4,"['Image segmentation', 'image segmentation']"
2022,Accelerated Synthetic MRI with Deep Learning-Based Reconstruction for Pediatric Neuroimaging,36,7.2,"['Image reconstruction / acceleration', 'Quantitative imaging']"
2022,"Clinical Validation and Extension of an Automated, Deep Learning–Based Algorithm for Quantitative Sinus CT Analysis",29,5.8,"['Detection / classification (CADx)', 'Image segmentation', 'detection / classification (CADx)', 'image segmentation', 'quantitative imaging']"
2023,Viz.ai Implementation of Stroke Augmented Intelligence and Communications Platform to Improve Indicators and Outcomes for a Comprehensive Stroke Center and Network,32,8.0,"['Detection / classification (CADx)', 'Image reconstruction / acceleration', 'Large language models / NLP', 'Multimodal AI', 'Prognosis / outcome prediction']"
2023,"Deep Learning–Generated Synthetic MR Imaging STIR Spine Images Are Superior in Image Quality and Diagnostically Equivalent to Conventional STIR: A Multicenter, Multireader Trial",18,4.5,"['Detection / classification (CADx)', 'Image reconstruction / acceleration', 'Image segmentation', 'Quantitative imaging']"
2023,Automated Segmentation of Intracranial Thrombus on NCCT and CTA in Patients with Acute Ischemic Stroke Using a Coarse-to-Fine Deep Learning Model,13,3.25,"['Image segmentation', 'detection / classification (cadx)', 'image segmentation', 'quantitative imaging']"
2024,Training and Comparison of nnU-Net and DeepMedic Methods for Autosegmentation of Pediatric Brain Tumors,28,9.333333333333334,['Image segmentation']
2024,High-Resolution Head CTA: A Prospective Patient Study Comparing Image Quality of Photon-Counting Detector CT and Energy-Integrating Detector CT,16,5.333333333333333,['Image reconstruction / acceleration']
2024,Automated Detection of Cervical Spinal Stenosis and Cord Compression via Vision Transformer and Rules-Based Classification,13,4.333333333333333,"['Detection / classification (CADx)', 'Foundation models / self-supervised', 'Image segmentation', 'Multimodal AI']"
2025,A Review of the Opportunities and Challenges with Large Language Models in Radiology: The Road Ahead,21,10.5,"['Explainability / trustworthy AI', 'Federated / privacy-preserving learning', 'Foundation models / self-supervised', 'Large language models / NLP', 'Multimodal AI']"
2025,Performance of Automated Algorithm in Large and Medium Vessel Occlusion Detection: A Real-World Experience,11,5.5,"['Detection / classification (CADx)', 'Large language models / NLP']"
2025,Deep Learning–Based Super-Resolution Reconstruction on Undersampled Brain Diffusion-Weighted MRI for Infarction Stroke: A Comparison to Conventional Iterative Reconstruction,10,5.0,['Image reconstruction / acceleration']
2026,Deep Learning–Based Acceleration in MRI: Current Landscape and Clinical Applications in Neuroradiology,5,5.0,"['Explainability / trustworthy AI', 'Foundation models / self-supervised', 'Image reconstruction / acceleration', 'Quantitative imaging']"
2026,Choroid Plexus Enlargement in Multiple Sclerosis Correlates with Cortical and Phase Rim Lesions on 7T MRI and Predicts Progression Independent of Relapse Activity,3,3.0,"['Detection / classification (CADx)', 'Image segmentation', 'Prognosis / outcome prediction', 'Quantitative imaging']"
